env.step/dt,env.step/fps,env.step/psps,env.step/total_steps,env.step/cpu_mem_use,env.step/gpu_mem_use,env.step+env.reset/dt,env.step+env.reset/fps,env.step+env.reset/psps,env.step+env.reset/total_steps,env.step+env.reset/cpu_mem_use,env.step+env.reset/gpu_mem_use,env_id,obs_mode,num_envs,control_mode,gpu_type,num_cameras,camera_width,camera_height
31.824923753738403,8044.009845268781,31.42191345808117,1000,4321161216,7151026176,31.12175345420837,8225.757599958846,32.13186562483924,1000,4321357824,7261126656,CartpoleBalanceBenchmark-v1,rgb,256,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,4.0,128.0,128.0
64.56872487068176,7929.53556114719,15.487374142865605,1000,6629486592,10329325568,62.28129863739014,8220.766284610263,16.05618414962942,1000,6631845888,10595729408,CartpoleBalanceBenchmark-v1,rgb,512,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,4.0,128.0,128.0
1.7120263576507568,2336.4126271331484,584.1031567832871,1000,2047721472,3644719104,1.7849442958831787,2240.966291903707,560.2415729759267,1000,2047918080,3633315840,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,5.0,128.0,128.0
5.726420164108276,5588.133438158754,174.62916994246106,1000,2353524736,4139909120,6.1327948570251465,5217.8494056985855,163.0577939280808,1000,2353721344,4161732608,CartpoleBalanceBenchmark-v1,rgb,32,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,5.0,128.0,128.0
10.630795240402222,6020.245762684685,94.0663400419482,1000,2698465280,4739956736,10.80863618850708,5921.1910627588495,92.51861035560702,1000,2698661888,4684840960,CartpoleBalanceBenchmark-v1,rgb,64,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,5.0,128.0,128.0
20.514235973358154,6239.569446614227,48.74663630167365,1000,3396886528,5651169280,19.81497430801392,6459.761088271107,50.46688350211802,1000,3397279744,5705629696,CartpoleBalanceBenchmark-v1,rgb,128,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,5.0,128.0,128.0
38.2353105545044,6695.381737126792,26.153834910651533,1000,4776919040,7336951808,38.73373246192932,6609.2262152018975,25.81728990313241,1000,4779474944,7427063808,CartpoleBalanceBenchmark-v1,rgb,256,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,5.0,128.0,128.0
75.16741919517517,6811.461740765261,13.303636212432153,1000,7521214464,11040849920,78.18442702293396,6548.618689113297,12.790270877174407,1000,7521214464,11238965248,CartpoleBalanceBenchmark-v1,rgb,512,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,5.0,128.0,128.0
1.892194032669068,2113.948110468212,528.4870276170528,1000,2056892416,3424780288,1.819407939910889,2198.5173925293043,549.6293481323261,1000,2057285632,3421437952,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,6.0,128.0,128.0
7.2059326171875,4440.785350070302,138.77454218969694,1000,2412441600,3979018240,6.857688188552856,4666.295567858532,145.82173649557913,1000,2412834816,4042784768,CartpoleBalanceBenchmark-v1,rgb,32,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,6.0,128.0,128.0
13.124448776245115,4876.395275041052,76.19367617251643,1000,2810929152,4531814400,12.934802532196043,4947.891538405589,77.31080528758733,1000,2811125760,4625530880,CartpoleBalanceBenchmark-v1,rgb,64,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,6.0,128.0,128.0
23.949493169784542,5344.580743006659,41.75453705473952,1000,3627270144,5668339712,23.70277500152588,5400.211578254442,42.18915295511283,1000,3627663360,5704908800,CartpoleBalanceBenchmark-v1,rgb,128,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,6.0,128.0,128.0
47.971357583999634,5336.517724180194,20.84577236007888,1000,5225185280,7866613760,48.19575047492981,5311.6716199525645,20.748717265439705,1000,5227347968,7947616256,CartpoleBalanceBenchmark-v1,rgb,256,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,6.0,128.0,128.0
90.46570086479188,5659.603530460947,11.053913145431537,1000,8427208704,11470241792,94.7848973274231,5401.704432208828,10.550203969157868,1000,8427405312,11671830528,CartpoleBalanceBenchmark-v1,rgb,512,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,6.0,128.0,128.0
1.9198708534240725,2083.473475763245,520.8683689408114,1000,2056163328,3453616128,1.8073368072509768,2213.2012051943666,553.3003012985916,1000,2056359936,3435200512,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,6.0,80.0,80.0
1.9354665279388428,2066.6851853334624,516.6712963333656,1000,2074267648,3485007872,1.900947332382202,2104.2140052282966,526.0535013070742,1000,2074464256,3410165760,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,6.0,160.0,160.0
2.0555758476257324,1945.926736111514,486.4816840278785,1000,2092822528,3577937920,2.02393126487732,1976.3517019647704,494.08792549119255,1000,2092822528,3588685824,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,6.0,224.0,224.0
2.1807518005371094,1834.229827995473,458.55745699886825,1000,2087489536,3595042816,2.185014247894287,1830.651678292179,457.6629195730448,1000,2087686144,3561488384,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,6.0,256.0,256.0
1.1841063499450684,3378.0749509413267,844.5187377353317,1000,2035716096,3186163712,1.1699318885803225,3419.002455650544,854.7506139126359,1000,2035912704,3202547712,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,80.0,80.0
1.385784387588501,2886.451915482088,721.6129788705218,1000,2044129280,3201433600,1.3553400039672852,2951.288966821163,737.8222417052907,1000,2044522496,3201499136,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,160.0,160.0
1.3739449977874756,2911.3246938133457,727.8311734533364,1000,2025107456,3201499136,1.4295001029968262,2798.180980619965,699.5452451549912,1000,2025500672,3207397376,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,224.0,224.0
1.3191931247711182,3032.1564939129025,758.0391234782256,1000,2050478080,3212247040,1.3316302299499512,3003.8368835696515,750.9592208924129,1000,2050674688,3204317184,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,256.0,256.0
1.5651295185089111,2555.699034934038,638.9247587335095,1000,2051973120,3214868480,1.5417027473449707,2594.5338729457176,648.6334682364294,1000,2052169728,3231842304,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,512.0,512.0
1.6566369533538818,9658.120910322448,603.632556895153,1000,2061402112,3342991360,1.484398603439331,10778.775972254502,673.6734982659063,1000,2061598720,3342204928,CartpoleBalanceBenchmark-v1,rgb,16,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,80.0,80.0
1.716825246810913,9319.52744154991,582.4704650968694,1000,2085429248,3358654464,1.582768201828003,10108.87126840238,631.8044542751488,1000,2085625856,3348103168,CartpoleBalanceBenchmark-v1,rgb,16,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,224.0,224.0
1.6687402725219729,9588.070872059165,599.2544295036978,1000,2090020864,3331850240,1.689579725265503,9469.810604815191,591.8631628009496,1000,2090217472,3347775488,CartpoleBalanceBenchmark-v1,rgb,16,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,256.0,256.0
2.3519532680511475,6802.8562545623045,425.178515910144,1000,2185768960,3651534848,2.31476092338562,6912.160922691769,432.0100576682356,1000,2185965568,3682533376,CartpoleBalanceBenchmark-v1,rgb,16,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,512.0,512.0
1.861722707748413,17188.38142050764,537.1369193908638,1000,2117124096,3583115264,1.851085901260376,17287.150195575305,540.2234436117283,1000,2117320704,3585212416,CartpoleBalanceBenchmark-v1,rgb,32,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,80.0,80.0
2.222328424453736,14399.311842427536,449.9784950758605,1000,2129412096,3651862528,2.0452890396118164,15645.710400948225,488.928450029632,1000,2129608704,3684499456,CartpoleBalanceBenchmark-v1,rgb,32,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,1.0,160.0,160.0
